iter	Passed	Remaining
1608	92461	22469
1609	92516	22410
1610	92572	22352
1611	92629	22295
1612	92682	22236
1613	92729	22176
1614	92793	22120
1615	92848	22062
1616	92899	22004
1617	92957	21946
1618	93012	21888
1619	93070	21831
1620	93131	21774
1621	93187	21717
1622	93236	21657
1623	93286	21598
1624	93344	21541
1625	93399	21483
1626	93462	21426
1627	93519	21369
1628	93574	21311
1629	93628	21253
1630	93680	21194
1631	93739	21137
1632	93793	21079
1633	93842	21019
1634	93896	20961
1635	93948	20903
1636	94001	20844
1637	94054	20786
1638	94117	20730
1639	94170	20671
1640	94221	20612
1641	94279	20555
1642	94338	20498
1643	94402	20442
1644	94456	20384
1645	94511	20326
1646	94563	20267
1647	94618	20209
1648	94675	20152
1649	94732	20094
1650	94786	20036
1651	94841	19978
1652	94893	19920
1653	94954	19863
1654	95006	19804
1655	95067	19748
1656	95116	19689
1657	95176	19632
1658	95226	19573
1659	95286	19516
1660	95349	19460
